(in millions of €),"Sept 30,","Sept 30,"
(in millions of €),2021,2020
Short-term financial debt and currentmaturities of long-term financial debt,225,167
Long-term financial debt,457,314
Current liabilities to the Siemens Group fromfinancing activities,"1,926","2,040"
Liabilities to the Siemens Group fromfinancing activities,"11,708","2,982"
Market value of forwards for hedging offoreign currency liabilities fromfinancing activities,-498,-92
Current receivables from the Siemens Groupfrom financing activities,-594,"-3,271"
Cash and cash equivalents,"-1,322",-656
Net debt1,"11,901","1,484"
Provisions for pensions and similar obligations,908,"1,029"
Net debt (including pensions),"12,809","2,513"
Income before income taxes,"2,404","1,954"
"Interest income,interest expenses and otherfinancial income,net",169,27
"Amortization,depreciation and impairments","1,039",815
EBITDA,"3,612","2,796"
Net debt (including pensions)/EBITDA,3.5,0.9
